Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
B1 SH,KIMZEY A,2988.5,47.143,0.888,7.212,12.611,,1,0.56,2
B1 SH,KIMZEY A,2989,44.586,0.966,4.979,9.4085,,1,0.52,2
B1 SH,KIMZEY A,2989.5,45.435,0.96,3.301,9.1195,,1,0.48,2
B1 SH,KIMZEY A,2990,44.447,0.911,3.906,8.267,,1,0.44,2
B1 SH,KIMZEY A,2990.5,44.343,0.884,5.595,7.4505,,1,0.4,2
B1 SH,KIMZEY A,2991,46.069,0.868,7.647,7.3315,,1,0.36,2
B1 SH,KIMZEY A,2991.5,48.61,0.868,6.273,8.8995,,1,0.32,2
B1 SH,KIMZEY A,2992,49.756,0.911,8.467,9.0675,,1,0.28,2
B1 SH,KIMZEY A,2992.5,49.709,0.862,9.998,8.962,,1,0.24,2
B1 SH,KIMZEY A,2993,49.673,0.795,11.664,9.505,,1,0.2,2
B1 SH,KIMZEY A,2993.5,49.554,0.704,11.38,11.298,,1,0.16,2
B1 SH,KIMZEY A,2994,46.149,0.748,10.328,12.154,,1,0.12,2
B1 SH,KIMZEY A,2994.5,43.622,0.793,8.143,12.2555,,1,0.08,2
B1 SH,KIMZEY A,2995,36.663,0.873,7.538,10.743,,1,0.04,2
B1 LM,KIMZEY A,2995.5,30.458,0.944,8.254,9.89,,2,1,5
B1 LM,KIMZEY A,2996,23.578,0.988,9.243,8.6795,,2,0.973,8
B1 LM,KIMZEY A,2996.5,15.887,1.031,6.786,8.533,,2,0.946,8
B1 LM,KIMZEY A,2997,13.839,1.075,3.081,8.0195,,2,0.919,8
B1 LM,KIMZEY A,2997.5,13.488,1.124,1.761,7.9645,,2,0.892,8
B1 LM,KIMZEY A,2998,14.872,1.353,0.715,7.8265,,2,0.865,8
B1 LM,KIMZEY A,2998.5,15.609,1.429,-0.22,8.184,,2,0.838,8
B1 LM,KIMZEY A,2999,16.399,1.293,-0.78,8.959,,2,0.811,8
B1 LM,KIMZEY A,2999.5,16.823,1.019,0.623,10.8235,,2,0.784,8
B1 LM,KIMZEY A,3000,17.222,0.672,0.44,12.696,,2,0.757,8
B1 LM,KIMZEY A,3000.5,18.517,0.672,0.357,13.3425,,2,0.73,8
B1 LM,KIMZEY A,3001,19.516,0.737,3.796,11.953,,2,0.703,8
B1 LM,KIMZEY A,3001.5,20.442,0.926,2.035,10.0275,,2,0.676,8
B1 LM,KIMZEY A,3002,24.152,1.064,0.908,8.253,,2,0.649,8
B1 LM,KIMZEY A,3002.5,26.727,1.037,2.586,6.671,,2,0.622,8
B1 LM,KIMZEY A,3003,30.452,0.982,4.457,5.5155,,2,0.595,5
B1 LM,KIMZEY A,3003.5,31.861,0.971,4.841,5.8185,,2,0.568,5
B1 LM,KIMZEY A,3004,31.738,1.138,4.401,6.3135,,2,0.541,5
B1 LM,KIMZEY A,3004.5,29.468,1.245,3.329,6.2995,,2,0.514,6
B1 LM,KIMZEY A,3005,27.071,1.331,2.036,6.066,,2,0.486,6
B1 LM,KIMZEY A,3005.5,26.809,1.385,0.881,6.2585,,2,0.459,6
B1 LM,KIMZEY A,3006,27.558,1.304,0.881,6.2585,,2,0.432,6
B1 LM,KIMZEY A,3006.5,28.052,1.304,3.246,6.011,,2,0.405,6
B1 LM,KIMZEY A,3007,26.961,1.375,3.357,6.2585,,2,0.378,6
B1 LM,KIMZEY A,3007.5,25.043,1.32,4.347,7.0015,,2,0.351,6
B1 LM,KIMZEY A,3008,24.733,1.231,5.172,8.074,,2,0.324,8
B1 LM,KIMZEY A,3008.5,25.028,1.104,5.007,9.6425,,2,0.297,8
B1 LM,KIMZEY A,3009,27.922,0.922,5.557,11.0175,,2,0.27,8
B1 LM,KIMZEY A,3009.5,35.886,0.791,5.254,11.527,,2,0.243,8
B1 LM,KIMZEY A,3010,40.984,0.871,5.558,11.293,,2,0.216,8
B1 LM,KIMZEY A,3010.5,47.502,0.976,5.227,10.5225,,2,0.189,8
B1 LM,KIMZEY A,3011,54.884,1.042,3.961,9.2845,,2,0.162,8
B1 LM,KIMZEY A,3011.5,71.764,1.097,4.071,8.1845,,2,0.135,8
B1 LM,KIMZEY A,3012,80.974,1.037,3.768,7.978,,2,0.108,8
B1 LM,KIMZEY A,3012.5,81.694,0.971,5.378,9.388,,2,0.081,8
B1 LM,KIMZEY A,3013,81.769,0.819,6.163,11.2105,,2,0.054,8
B1 LM,KIMZEY A,3013.5,77.668,0.71,6.438,13.989,,2,0.027,8
B2 SH,KIMZEY A,3014,74.262,0.573,10.729,15.9145,,1,1,3
B2 SH,KIMZEY A,3014.5,71.388,0.497,15.984,18.322,,1,0.929,3
B2 SH,KIMZEY A,3015,70.555,0.306,17.937,19.8485,,1,0.857,3
B2 SH,KIMZEY A,3015.5,74.138,0.422,14.525,22.5445,,1,0.786,3
B2 SH,KIMZEY A,3016,72.583,0.494,14.968,20.73,,1,0.714,3
B2 SH,KIMZEY A,3016.5,68.824,0.556,10.203,21.3735,,1,0.643,3
B2 SH,KIMZEY A,3017,65.282,0.628,9.904,19.271,,1,0.571,3
B2 SH,KIMZEY A,3017.5,60.532,0.71,10.729,14.0445,,1,0.5,3
B2 SH,KIMZEY A,3018,57.217,0.879,9.794,12.531,,1,0.429,3
B2 SH,KIMZEY A,3018.5,55.096,0.911,6.272,10.495,,1,0.357,3
B2 SH,KIMZEY A,3019,52.36,0.78,7.521,10.5145,,1,0.286,3
B2 SH,KIMZEY A,3019.5,51.351,0.737,9.051,10.8395,,1,0.214,2
B2 SH,KIMZEY A,3020,48.562,0.764,11.775,11.0455,,1,0.143,2
B2 SH,KIMZEY A,3020.5,43.998,0.922,10.048,12.184,,1,0.071,2
B2 LM,KIMZEY A,3021,39.7,1.046,5.943,11.4305,,2,1,5
B2 LM,KIMZEY A,3021.5,35.864,1.151,7.483,6.3135,,2,0.955,5
B2 LM,KIMZEY A,3022,28.812,1.276,5.474,4.484,,2,0.909,5
B2 LM,KIMZEY A,3022.5,24.317,1.381,6.163,3.6725,,2,0.864,8
B2 LM,KIMZEY A,3023,20.368,1.528,4.071,3.9475,,2,0.818,8
B2 LM,KIMZEY A,3023.5,18.842,1.734,3.301,3.8375,,2,0.773,8
B2 LM,KIMZEY A,3024,19.376,1.8,4.236,3.095,,2,0.727,8
B2 LM,KIMZEY A,3024.5,20.95,1.794,4.952,2.792,,2,0.682,8
B2 LM,KIMZEY A,3025,22.348,1.762,5.777,3.0945,,2,0.636,8
B2 LM,KIMZEY A,3025.5,30.047,1.625,2.925,5.0715,,2,0.591,8
B2 LM,KIMZEY A,3026,33.171,1.517,1.596,6.011,,2,0.545,8
B2 LM,KIMZEY A,3026.5,37.235,1.373,2.972,7.359,,2,0.5,8
B2 LM,KIMZEY A,3027,37.768,1.255,3.934,7.813,,2,0.455,8
B2 LM,KIMZEY A,3027.5,33.443,1.206,6.382,7.579,,2,0.409,8
B2 LM,KIMZEY A,3028,33.3,0.974,7.097,7.6065,,2,0.364,8
B2 LM,KIMZEY A,3028.5,35.489,0.846,7.592,7.469,,2,0.318,8
B2 LM,KIMZEY A,3029,37.509,0.931,7.813,6.5885,,2,0.273,8
B2 LM,KIMZEY A,3029.5,40.634,0.971,7.18,6.107,,2,0.227,5
B2 LM,KIMZEY A,3030,43.743,1.102,4.842,6.644,,2,0.182,5
B2 LM,KIMZEY A,3030.5,48.963,1.184,6.163,5.8185,,2,0.136,5
B2 LM,KIMZEY A,3031,51.045,1.249,6.878,6.011,,2,0.091,6
B2 LM,KIMZEY A,3031.5,53.929,0.987,8.797,7.5755,,2,0.045,6
B2 LM,KIMZEY A,3032,61.399,0.825,11.41,8.992,,2,0.01,5
B3 SH,KIMZEY A,3032.5,61.399,0.825,11.41,8.992,,1,1,3
B3 SH,KIMZEY A,3033,71.921,0.677,14.285,11.3765,,1,0.955,3
B3 SH,KIMZEY A,3033.5,73.821,0.464,16.695,15.1565,,1,0.909,3
B3 SH,KIMZEY A,3034,73.681,0.464,15.075,16.7675,,1,0.864,2
B3 SH,KIMZEY A,3034.5,71.35,0.579,12.033,16.2915,,1,0.818,2
B3 SH,KIMZEY A,3035,69.416,0.683,8.831,15.0205,,1,0.773,2
B3 SH,KIMZEY A,3035.5,67.261,0.764,9.978,10.678,,1,0.727,2
B3 SH,KIMZEY A,3036,64.868,0.819,11.012,9.611,,1,0.682,2
B3 SH,KIMZEY A,3036.5,62.321,0.762,12.214,9.56,,1,0.636,2
B3 SH,KIMZEY A,3037,62.074,0.753,10.6,10.312,,1,0.591,2
B3 SH,KIMZEY A,3037.5,61.119,0.748,8.198,10.605,,1,0.545,2
B3 SH,KIMZEY A,3038,61.291,0.742,7.703,10.7155,,1,0.5,2
B3 SH,KIMZEY A,3038.5,63.942,0.737,9.124,10.5,,1,0.455,2
B3 SH,KIMZEY A,3039,65.728,0.721,10.069,10.6325,,1,0.409,2
B3 SH,KIMZEY A,3039.5,67.095,0.699,10.729,11.0725,,1,0.364,2
B3 SH,KIMZEY A,3040,64.452,0.661,10.179,11.6505,,1,0.318,2
B3 SH,KIMZEY A,3040.5,62.594,0.721,10.014,12.036,,1,0.273,2
B3 SH,KIMZEY A,3041,60.872,0.791,9.959,12.3385,,1,0.227,3
B3 SH,KIMZEY A,3041.5,60.841,0.685,11.101,13.2395,,1,0.182,3
B3 SH,KIMZEY A,3042,59.067,0.525,11.829,16.0245,,1,0.136,3
B3 SH,KIMZEY A,3042.5,53.585,0.519,12.957,16.9465,,1,0.091,2
B3 SH,KIMZEY A,3043,40.166,0.869,12.325,17.1525,,1,0.045,2
B3 LM,KIMZEY A,3043.5,24.969,1.018,10.566,18.142,,2,1,8
B3 LM,KIMZEY A,3044,18.534,1.124,8.639,12.7235,,2,0.929,8
B3 LM,KIMZEY A,3044.5,16.033,0.9,11.389,11.7885,,2,0.857,8
B3 LM,KIMZEY A,3045,16.449,0.76,12.193,12.8625,,2,0.786,7
B3 LM,KIMZEY A,3045.5,19.393,0.557,15.196,15.332,,2,0.714,7
B3 LM,KIMZEY A,3046,20.225,0.41,16.892,16.96,,2,0.643,7
B3 LM,KIMZEY A,3046.5,21.419,0.404,18.267,16.3275,,2,0.571,7
B3 LM,KIMZEY A,3047,24.123,0.459,18.817,15.6675,,2,0.5,7
B3 LM,KIMZEY A,3047.5,25.921,0.628,16.699,14.3325,,2,0.429,7
B3 LM,KIMZEY A,3048,27.676,0.486,14.91,13.659,,2,0.357,7
B3 LM,KIMZEY A,3048.5,31.915,0.508,14.317,12.8555,,2,0.286,7
B3 LM,KIMZEY A,3049,34.768,0.584,12.38,11.513,,2,0.214,7
B3 LM,KIMZEY A,3049.5,41.164,0.623,10.124,10.385,,2,0.143,7
B3 LM,KIMZEY A,3050,45.517,0.693,8.886,8.803,,2,0.071,7
B4 SH,KIMZEY A,3050.5,54.149,0.699,7.648,8.652,,1,1,3
B4 SH,KIMZEY A,3051,58.366,0.688,7.373,8.7895,,1,0.944,2
B4 SH,KIMZEY A,3051.5,61.994,0.797,6.988,9.147,,1,0.889,2
B4 SH,KIMZEY A,3052,65.071,0.83,7.593,10.2755,,1,0.833,2
B4 SH,KIMZEY A,3052.5,67.312,0.753,9.133,11.4305,,1,0.778,2
B4 SH,KIMZEY A,3053,67.322,0.65,11.279,11.7335,,1,0.722,2
B4 SH,KIMZEY A,3053.5,63.599,0.612,14.085,11.4305,,1,0.667,2
B4 SH,KIMZEY A,3054,59.174,0.584,14.46,11.848,,1,0.611,2
B4 SH,KIMZEY A,3054.5,56.467,0.59,10.747,10.3515,,1,0.556,2
B4 SH,KIMZEY A,3055,55.051,0.672,8.844,9.76,,1,0.5,2
B4 SH,KIMZEY A,3055.5,55.424,0.715,9.346,10.161,,1,0.444,2
B4 SH,KIMZEY A,3056,58.234,0.808,10.133,10.8845,,1,0.389,2
B4 SH,KIMZEY A,3056.5,62.702,0.824,10.37,11.884,,1,0.333,2
B4 SH,KIMZEY A,3057,65.107,0.715,10.388,12.993,,1,0.278,2
B4 SH,KIMZEY A,3057.5,65.898,0.53,11.995,14.6215,,1,0.222,2
B4 SH,KIMZEY A,3058,63.371,0.415,16.341,17.2355,,1,0.167,2
B4 SH,KIMZEY A,3058.5,56.834,0.575,19.257,16.6575,,1,0.111,3
B4 SH,KIMZEY A,3059,44.687,0.753,13.784,14.456,,1,0.056,3
B4 LM,KIMZEY A,3059.5,31.567,0.939,7.263,11.8155,,2,1,5
B4 LM,KIMZEY A,3060,23.967,1.39,5.667,4.6905,,2,0.909,8
B4 LM,KIMZEY A,3060.5,22.997,1.642,5.282,3.287,,2,0.818,8
B4 LM,KIMZEY A,3061,26.018,1.642,4.279,4.5215,,2,0.727,8
B4 LM,KIMZEY A,3061.5,27.233,1.429,5.515,4.7795,,2,0.636,8
B4 LM,KIMZEY A,3062,29.239,1.312,6.446,5.19,,2,0.545,8
B4 LM,KIMZEY A,3062.5,31.972,1.15,6.162,6.424,,2,0.455,5
B4 LM,KIMZEY A,3063,35.527,1.016,7.978,7.882,,2,0.364,5
B4 LM,KIMZEY A,3063.5,39.981,0.923,7.208,9.477,,2,0.273,5
B4 LM,KIMZEY A,3064,47.38,0.805,6.603,10.8255,,2,0.182,5
B4 LM,KIMZEY A,3064.5,52.479,0.666,7.642,12.781,,2,0.091,5
B5 SH,KIMZEY A,3065,58.378,0.562,5.337,15.0895,,1,1,3
B5 SH,KIMZEY A,3065.5,58.378,0.562,5.337,15.0895,,1,1,3
B5 SH,KIMZEY A,3066,66.469,0.454,7.923,20.0135,,1,0.875,3
B5 SH,KIMZEY A,3066.5,69.387,0.388,10.894,22.82,,1,0.75,3
B5 SH,KIMZEY A,3067,70.043,0.38,11.279,23.3425,,1,0.625,3
B5 SH,KIMZEY A,3067.5,64.826,0.372,11.334,22.875,,1,0.5,3
B5 SH,KIMZEY A,3068,59.546,0.383,9.409,22.6825,,1,0.375,3
B5 SH,KIMZEY A,3068.5,53.408,0.41,9.959,21.3065,,1,0.25,3
B5 SH,KIMZEY A,3069,48.476,0.577,10.344,19.904,,1,0.125,3
B5 LM,KIMZEY A,3069.5,36.286,0.75,9.573,17.0975,,2,1,8
B5 LM,KIMZEY A,3070,28.317,0.887,10.178,13.879,,2,0.979,8
B5 LM,KIMZEY A,3070.5,21.848,0.974,6.438,11.678,,2,0.957,8
B5 LM,KIMZEY A,3071,20.868,1.064,4.236,11.458,,2,0.936,8
B5 LM,KIMZEY A,3071.5,23.699,1.097,5.834,11.597,,2,0.915,8
B5 LM,KIMZEY A,3072,26.536,0.998,6.878,11.843,,2,0.894,8
B5 LM,KIMZEY A,3072.5,28.892,0.909,6.131,13.5605,,2,0.872,7
B5 LM,KIMZEY A,3073,32.816,0.797,8.913,14.5665,,2,0.851,7
B5 LM,KIMZEY A,3073.5,32.489,0.646,11.829,15.8045,,2,0.83,7
B5 LM,KIMZEY A,3074,29.431,0.59,10.544,15.877,,2,0.809,8
B5 LM,KIMZEY A,3074.5,27.547,0.688,8.088,15.64,,2,0.787,8
B5 LM,KIMZEY A,3075,27.491,0.612,6.211,17.2325,,2,0.766,8
B5 LM,KIMZEY A,3075.5,28.109,0.517,6.359,18.0765,,2,0.745,8
B5 LM,KIMZEY A,3076,29.742,0.391,6.822,20.179,,2,0.723,8
B5 LM,KIMZEY A,3076.5,32.515,0.213,8.033,22.1595,,2,0.702,8
B5 LM,KIMZEY A,3077,35.876,0.127,8.783,21.7295,,2,0.681,8
B5 LM,KIMZEY A,3077.5,40.311,0.214,9.134,20.949,,2,0.66,8
B5 LM,KIMZEY A,3078,42.725,0.268,8.584,20.564,,2,0.638,7
B5 LM,KIMZEY A,3078.5,46.088,0.29,6.053,21.7745,,2,0.617,7
B5 LM,KIMZEY A,3079,49.065,0.279,6.768,22.242,,2,0.596,7
B5 LM,KIMZEY A,3079.5,53.726,0.219,9.463,21.7195,,2,0.574,7
B5 LM,KIMZEY A,3080,57.428,0.159,9.133,22.2145,,2,0.553,7
B5 LM,KIMZEY A,3080.5,63.474,0.229,10.509,21.4165,,2,0.532,6
B5 LM,KIMZEY A,3081,66.729,0.317,8.639,20.9765,,2,0.511,6
B5 LM,KIMZEY A,3081.5,67.942,0.391,6.932,20.784,,2,0.489,6
B5 LM,KIMZEY A,3082,68.815,0.437,4.402,18.143,,2,0.468,7
B5 LM,KIMZEY A,3082.5,68.722,0.459,5.117,17.4005,,2,0.447,7
B5 LM,KIMZEY A,3083,69.128,0.464,3.632,15.722,,2,0.426,7
B5 LM,KIMZEY A,3083.5,68.031,0.448,4.402,14.677,,2,0.404,7
B5 LM,KIMZEY A,3084,67.564,0.519,4.621,13.9615,,2,0.383,7
B5 LM,KIMZEY A,3084.5,67.538,0.573,5.337,13.0535,,2,0.362,7
B5 LM,KIMZEY A,3085,67.899,0.639,5.85,12.577,,2,0.34,7
B5 LM,KIMZEY A,3085.5,69.154,0.595,6.013,11.9615,,2,0.319,7
B5 LM,KIMZEY A,3086,79.88,0.75,7.373,10.4955,,2,0.298,5
B5 LM,KIMZEY A,3086.5,86.869,0.857,5.832,8.349,,2,0.277,5
B5 LM,KIMZEY A,3087,110.942,0.933,5.612,7.139,,2,0.255,5
B5 LM,KIMZEY A,3087.5,121.438,0.988,6.933,5.8185,,2,0.234,5
B5 LM,KIMZEY A,3088,136.644,0.982,7.235,5.8595,,2,0.213,5
B5 LM,KIMZEY A,3088.5,146.732,0.933,5.887,7.1665,,2,0.191,5
B5 LM,KIMZEY A,3089,140.154,0.748,12.6,8.597,,2,0.149,5
B5 LM,KIMZEY A,3089.5,125.603,0.824,12.214,9.835,,2,0.128,5
B5 LM,KIMZEY A,3090,99.08,0.868,10.674,10.055,,2,0.106,5
B5 LM,KIMZEY A,3090.5,84.029,0.906,7.923,9.5595,,2,0.085,5
B5 LM,KIMZEY A,3091,73.656,0.928,7.239,9.6265,,2,0.064,5
B5 LM,KIMZEY A,3091.5,70.578,0.838,7.315,10.3035,,2,0.043,6
B5 LM,KIMZEY A,3092,67.444,0.702,7.392,10.981,,2,0.021,6
C SH,KIMZEY A,3092.5,67.301,0.597,9.233,13.0315,,1,1,3
C SH,KIMZEY A,3093,67.494,0.535,9.574,15.887,,1,0.974,3
C SH,KIMZEY A,3093.5,66.264,0.481,11.334,18.913,,1,0.947,3
C SH,KIMZEY A,3094,64.66,0.503,13.108,18.026,,1,0.921,3
C SH,KIMZEY A,3094.5,64.211,0.584,16.506,16.217,,1,0.895,3
C SH,KIMZEY A,3095,63.453,0.595,14.911,16.0795,,1,0.868,3
C SH,KIMZEY A,3095.5,62.923,0.606,15.155,15.5175,,1,0.842,3
C SH,KIMZEY A,3096,62.614,0.677,14.196,15.282,,1,0.816,3
C SH,KIMZEY A,3096.5,62.594,0.732,15.406,14.402,,1,0.789,3
C SH,KIMZEY A,3097,62.785,0.791,17.277,13.9615,,1,0.763,3
C SH,KIMZEY A,3097.5,65.317,0.742,16.892,14.209,,1,0.711,3
C SH,KIMZEY A,3098,67.611,0.715,16.286,15.062,,1,0.684,3
C SH,KIMZEY A,3098.5,66.572,0.699,15.516,15.667,,1,0.658,3
C SH,KIMZEY A,3099,68.829,0.688,15.791,14.9795,,1,0.632,3
C SH,KIMZEY A,3099.5,70.217,0.688,17.221,14.9245,,1,0.605,3
C SH,KIMZEY A,3100,68.784,0.65,17.756,14.767,,1,0.579,2
C SH,KIMZEY A,3100.5,70.812,0.623,17.973,15.1535,,1,0.553,2
C SH,KIMZEY A,3101,70.526,0.612,18.492,15.83,,1,0.526,2
C SH,KIMZEY A,3101.5,64.98,0.612,18.13,16.066,,1,0.5,2
C SH,KIMZEY A,3102,67.636,0.672,16.726,16.107,,1,0.474,2
C SH,KIMZEY A,3102.5,64.374,0.764,14.251,15.1995,,1,0.447,2
C SH,KIMZEY A,3103,62.215,0.797,12.82,14.264,,1,0.421,2
C SH,KIMZEY A,3103.5,60.814,0.808,13.425,13.5215,,1,0.395,2
C SH,KIMZEY A,3104,60.884,0.742,14.361,12.3385,,1,0.368,3
C SH,KIMZEY A,3104.5,62.554,0.764,15.24,11.623,,1,0.342,3
C SH,KIMZEY A,3105,64.784,0.759,16.341,11.0725,,1,0.289,2
C SH,KIMZEY A,3105.5,67.764,0.745,13.645,12.2555,,1,0.263,2
C SH,KIMZEY A,3106,70.192,0.721,13.646,12.696,,1,0.237,2
C SH,KIMZEY A,3106.5,71.594,0.699,13.535,13.1365,,1,0.211,2
C SH,KIMZEY A,3107,70.705,0.672,13.425,13.4665,,1,0.184,2
C SH,KIMZEY A,3107.5,69.295,0.612,12.159,14.8695,,1,0.158,2
C SH,KIMZEY A,3108,67.784,0.589,12.841,15.3755,,1,0.132,2
C SH,KIMZEY A,3108.5,65.164,0.563,15.079,15.0605,,1,0.105,2
C SH,KIMZEY A,3109,62.957,0.53,16.795,14.9175,,1,0.079,3
C SH,KIMZEY A,3109.5,56.582,0.464,19.038,15.227,,1,0.053,3
C LM,KIMZEY A,3110.5,39.6,0.366,19.312,19.161,,2,1,5
C LM,KIMZEY A,3111,25.306,0.415,18.626,17.303,,2,0.988,5
C LM,KIMZEY A,3111.5,22.906,0.546,18.294,14.993,,2,0.976,5
C LM,KIMZEY A,3112,19.956,0.715,12.765,11.5405,,2,0.964,5
C LM,KIMZEY A,3112.5,16.938,0.982,12.655,8.5145,,2,0.952,5
C LM,KIMZEY A,3113,11.761,1.329,7.758,5.956,,2,0.94,5
C LM,KIMZEY A,3113.5,10.149,1.456,5.801,6.0225,,2,0.929,8
C LM,KIMZEY A,3114,11.587,1.336,5.557,6.5065,,2,0.917,8
C LM,KIMZEY A,3114.5,13.411,1.233,5.997,6.3415,,2,0.905,8
C LM,KIMZEY A,3115,16.222,1.162,6.218,6.011,,2,0.893,8
C LM,KIMZEY A,3115.5,16.939,1.08,5.392,4.553,,2,0.881,8
C LM,KIMZEY A,3116,18.085,1.069,5.282,3.398,,2,0.869,6
C LM,KIMZEY A,3116.5,19.651,1.178,4.786,3.315,,2,0.857,6
C LM,KIMZEY A,3117,21.289,1.206,4.786,3.535,,2,0.845,6
C LM,KIMZEY A,3117.5,23.054,1.146,5.392,3.508,,2,0.833,6
C LM,KIMZEY A,3118,24.473,1.282,5.888,3.37,,2,0.821,5
C LM,KIMZEY A,3118.5,28.116,1.282,7.208,3.315,,2,0.81,5
C LM,KIMZEY A,3119,31.275,1.129,8.363,3.6175,,2,0.798,5
C LM,KIMZEY A,3119.5,34.781,1.02,9.024,5.103,,2,0.786,6
C LM,KIMZEY A,3120,39.565,0.966,8.639,7.2765,,2,0.774,6
C LM,KIMZEY A,3120.5,40.913,0.95,7.912,7.133,,2,0.762,6
C LM,KIMZEY A,3121,41.211,0.95,7.593,6.4785,,2,0.75,8
C LM,KIMZEY A,3121.5,39.653,0.966,8.06,5.942,,2,0.738,5
C LM,KIMZEY A,3122,39.653,0.966,8.06,5.942,,2,0.738,5
C LM,KIMZEY A,3122.5,37.346,1.004,6.878,5.956,,2,0.726,6
C LM,KIMZEY A,3123,34.785,1.097,7.427,4.6905,,2,0.714,5
C LM,KIMZEY A,3123.5,35.079,1.191,7.428,3.48,,2,0.702,6
C LM,KIMZEY A,3124,37.081,1.269,5.612,2.847,,2,0.69,6
C LM,KIMZEY A,3124.5,35.89,1.347,4.432,3.977,,2,0.679,6
C LM,KIMZEY A,3125,33.215,1.347,3.742,4.663,,2,0.667,6
C LM,KIMZEY A,3125.5,33.307,1.287,4.787,3.8105,,2,0.655,6
C LM,KIMZEY A,3126,35.619,1.204,4.842,4.388,,2,0.643,6
C LM,KIMZEY A,3126.5,36.917,1.02,4.677,5.6255,,2,0.631,5
C LM,KIMZEY A,3127,33.366,1.026,5.255,6.3825,,2,0.619,6
C LM,KIMZEY A,3127.5,26.31,1.217,4.02,6.233,,2,0.607,6
C LM,KIMZEY A,3128,23.061,1.353,2.136,6.501,,2,0.595,6
C LM,KIMZEY A,3128.5,20.498,1.505,1.321,6.4785,,2,0.583,9
C LM,KIMZEY A,3129,19.037,1.451,2.056,7.122,,2,0.571,9
C LM,KIMZEY A,3129.5,19.16,1.162,2.586,7.607,,2,0.56,9
C LM,KIMZEY A,3130,20.461,1.031,2.503,8.6935,,2,0.548,9
C LM,KIMZEY A,3130.5,23.425,0.791,4.017,9.9725,,2,0.536,9
C LM,KIMZEY A,3131,31.562,0.759,5.805,9.5265,,2,0.524,9
C LM,KIMZEY A,3131.5,43.298,0.759,6.603,8.8445,,2,0.512,9
C LM,KIMZEY A,3132,60.579,0.77,7.675,8.3355,,2,0.5,6
C LM,KIMZEY A,3132.5,65.001,0.737,8.473,9.2295,,2,0.488,4
C LM,KIMZEY A,3133,65.014,0.677,9.904,12.311,,2,0.476,4
C LM,KIMZEY A,3133.5,61.49,0.688,10.134,12.141,,2,0.464,4
C LM,KIMZEY A,3134,63.557,0.721,11.019,12.1385,,2,0.452,4
C LM,KIMZEY A,3134.5,66.737,0.693,11.581,12.1595,,2,0.44,4
C LM,KIMZEY A,3135,69.863,0.683,10.454,12.916,,2,0.429,4
C LM,KIMZEY A,3135.5,79.245,0.677,10.619,12.9435,,2,0.417,4
C LM,KIMZEY A,3136,86.023,0.688,10.949,11.7335,,2,0.405,4
C LM,KIMZEY A,3136.5,101.037,0.732,10.179,12.0085,,2,0.393,6
C LM,KIMZEY A,3137,153.374,0.748,8.198,13.439,,2,0.381,6
C LM,KIMZEY A,3137.5,144.117,0.672,9.188,13.439,,2,0.369,6
C LM,KIMZEY A,3138,245.36,0.721,9.642,13.927,,2,0.357,4
