Formation,Well_Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
B3 SH,STUART,2925,68.937,0.587,4.1,13.25,3.122,1,0.7,2
B3 SH,STUART,2925.5,66.562,0.671,1.3,13.25,3.243,1,0.65,1
B3 SH,STUART,2926,64.636,0.663,3.2,13.3,3.324,1,0.6,2
B3 SH,STUART,2926.5,66.619,0.625,4,13.6,3.33,1,0.55,2
B3 SH,STUART,2927,66.619,0.625,4,13.6,3.33,1,0.55,2
B3 SH,STUART,2927.5,65.624,0.635,3.2,12.4,3.309,1,0.5,2
B3 SH,STUART,2928,65.322,0.68,3.3,9.65,3.315,1,0.45,2
B3 SH,STUART,2928.5,67.035,0.707,2.4,8.6,3.232,1,0.4,2
B3 SH,STUART,2929,68.194,0.693,3,8.8,3.157,1,0.35,2
B3 SH,STUART,2929.5,69.149,0.646,3,10.4,3.034,1,0.3,2
B3 SH,STUART,2930,72.201,0.588,3.2,13.2,3.052,1,0.25,2
B3 SH,STUART,2930.5,73.776,0.542,4.4,16,3.132,1,0.2,3
B3 SH,STUART,2931,72.609,0.525,5.5,17.55,3.31,1,0.15,3
B3 SH,STUART,2931.5,66.864,0.55,5.3,16.55,3.625,1,0.1,3
B3 SH,STUART,2932,53.702,0.62,5.7,13.75,4.003,1,0.05,8
B3 LM,STUART,2932.5,40.474,0.713,4.7,11.15,4.278,2,1,8
B3 LM,STUART,2933,28.12,0.774,2.2,10.5,4.537,2,0.9,8
B3 LM,STUART,2933.5,20.213,0.769,-1.1,10.95,4.682,2,0.8,8
B3 LM,STUART,2934,19.193,0.732,-1,11.1,4.546,2,0.7,8
B3 LM,STUART,2934.5,20.449,0.699,-0.7,10.65,4.386,2,0.6,8
B3 LM,STUART,2935,21.355,0.679,-0.1,9.95,4.28,2,0.5,8
B3 LM,STUART,2935.5,21.641,0.668,1.3,8.95,4.221,2,0.4,8
B3 LM,STUART,2936,24.203,0.653,2.6,8.3,4.099,2,0.3,8
B3 LM,STUART,2936.5,34.574,0.613,2.4,9,3.66,2,0.2,8
B3 LM,STUART,2937,45.231,0.548,2.3,10.45,3.496,2,0.1,6
B4 SH,STUART,2937.5,56.427,0.498,2.9,11.35,3.338,1,1,2
B4 SH,STUART,2938,67.06,0.504,1.7,11.65,3.135,1,0.944,2
B4 SH,STUART,2938.5,70.838,0.558,2,10.8,3.012,1,0.889,2
B4 SH,STUART,2939,69.932,0.612,3.3,10.05,3.066,1,0.833,2
B4 SH,STUART,2939.5,74.526,0.633,4.1,10.25,3.109,1,0.778,2
B4 SH,STUART,2940,77.611,0.626,5,11,3.063,1,0.722,2
B4 SH,STUART,2940.5,78.59,0.605,5.9,11.55,3.092,1,0.667,2
B4 SH,STUART,2941,76.729,0.591,5.7,11.95,3.051,1,0.611,2
B4 SH,STUART,2941.5,74.11,0.608,3.7,10.95,3.07,1,0.556,2
B4 SH,STUART,2942,66.407,0.653,2.2,9.6,2.997,1,0.5,2
B4 SH,STUART,2942.5,64.081,0.693,1.4,8.6,3.093,1,0.444,2
B4 SH,STUART,2943,65.885,0.705,0.9,8.55,3.106,1,0.389,2
B4 SH,STUART,2943.5,70.299,0.696,1.4,9,3.085,1,0.333,2
B4 SH,STUART,2944,70.299,0.696,1.4,9,3.085,1,0.333,2
B4 SH,STUART,2944.5,74.551,0.677,3.1,9.65,3.066,1,0.278,2
B4 SH,STUART,2945,79.659,0.643,3.4,12.5,2.902,1,0.222,1
B4 SH,STUART,2945.5,80.402,0.573,-2.8,19.3,2.982,1,0.167,3
B4 SH,STUART,2946,74.649,0.483,-0.5,23.95,3.14,1,0.111,3
B4 SH,STUART,2946.5,63.429,0.461,0.2,24.2,3.394,1,0.056,2
B4 LM,STUART,2947,47.916,0.598,-7.6,18.9,3.762,2,1,3
B4 LM,STUART,2947.5,32.469,0.912,-1.4,9.8,4.314,2,0.929,8
B4 LM,STUART,2948,20.718,1.222,-2.9,7.85,4.863,2,0.857,8
B4 LM,STUART,2948.5,15.015,1.233,-1.6,6.4,4.813,2,0.786,8
B4 LM,STUART,2949,14.084,1.084,-1.1,6.55,4.644,2,0.714,8
B4 LM,STUART,2949.5,15.937,0.962,-0.4,7.4,4.634,2,0.643,8
B4 LM,STUART,2950,19.348,0.901,-1,7.9,4.545,2,0.571,8
B4 LM,STUART,2950.5,21.469,0.906,-1.1,6.75,4.576,2,0.5,8
B4 LM,STUART,2951,22.587,0.969,-1.4,5.5,4.527,2,0.429,8
B4 LM,STUART,2951.5,25.721,1.079,-0.9,4.45,4.512,2,0.357,8
B4 LM,STUART,2952,29.45,1.2,0,4,4.437,2,0.286,6
B4 LM,STUART,2952.5,36.313,1.169,-3.3,6.95,3.97,2,0.214,6
B4 LM,STUART,2953,49.491,0.909,-8.9,13.85,3.695,2,0.143,8
B5 SH,STUART,2953.5,69.222,0.469,-6,27.9,3.351,1,1,3
B5 SH,STUART,2954,70.968,0.444,-2.5,28.85,3.49,1,0.75,3
B5 SH,STUART,2954.5,65.379,0.501,-0.3,22.75,3.9,1,0.5,3
B5 SH,STUART,2955,54.093,0.56,-0.5,16.75,4.126,1,0.25,2
B5 LM,STUART,2955.5,41.633,0.541,3.9,11.55,4.482,2,1,5
B5 LM,STUART,2956,33.644,0.439,3.8,11.7,4.707,2,0.976,6
B5 LM,STUART,2956.5,28.977,0.321,1.3,14.45,4.447,2,0.951,8
B5 LM,STUART,2957,24.611,0.232,-1.1,17.25,4.481,2,0.927,8
B5 LM,STUART,2957.5,24.154,0.184,-2.9,19.65,4.327,2,0.902,8
B5 LM,STUART,2958,25.639,0.173,-2.4,20.5,4.302,2,0.878,8
B5 LM,STUART,2958.5,25.957,0.191,-2.4,19.9,4.294,2,0.854,8
B5 LM,STUART,2959,38.965,0.266,-2.1,17.05,4.228,2,0.805,8
B5 LM,STUART,2959.5,45.354,0.301,0.2,14.8,4.127,2,0.78,8
B5 LM,STUART,2960,53.645,0.327,2.6,12.6,3.908,2,0.756,8
B5 LM,STUART,2960.5,60.164,0.338,3.8,12.2,3.74,2,0.732,6
B5 LM,STUART,2961,64.032,0.334,5.5,13.15,3.538,2,0.707,6
B5 LM,STUART,2961.5,66.774,0.323,7.9,14.75,3.558,2,0.683,7
B5 LM,STUART,2962,68.423,0.313,8.1,15.75,3.476,2,0.659,7
B5 LM,STUART,2962.5,63.502,0.318,6.1,14.75,3.682,2,0.634,7
B5 LM,STUART,2963,57.904,0.349,2.8,12.9,3.937,2,0.61,8
B5 LM,STUART,2963.5,52.935,0.415,2.3,10.25,4.133,2,0.585,8
B5 LM,STUART,2964,45.125,0.507,2.3,8.45,4.248,2,0.561,8
B5 LM,STUART,2964.5,39.927,0.605,3.5,6.75,4.468,2,0.537,6
B5 LM,STUART,2965,36.215,0.703,2.4,6,4.575,2,0.512,6
B5 LM,STUART,2965.5,31.253,0.787,2.3,4.45,4.557,2,0.488,8
B5 LM,STUART,2966,28.446,0.832,2.2,3.4,4.573,2,0.463,8
B5 LM,STUART,2966.5,27.296,0.821,1.2,4.4,4.79,2,0.439,8
B5 LM,STUART,2967,28.944,0.755,-0.4,7.3,4.887,2,0.415,6
B5 LM,STUART,2967.5,31.596,0.659,-1.6,11,4.824,2,0.39,9
B5 LM,STUART,2968,33.212,0.574,-3.1,14.45,4.765,2,0.366,9
B5 LM,STUART,2968.5,34.689,0.517,-3,16.4,4.766,2,0.341,9
B5 LM,STUART,2969,39.266,0.493,-1.9,16.15,4.705,2,0.317,9
B5 LM,STUART,2969.5,50.103,0.499,-2,14.6,4.453,2,0.293,9
B5 LM,STUART,2970,65.167,0.525,-1.6,13.1,4.366,2,0.268,8
B5 LM,STUART,2970.5,76.436,0.557,-0.6,11.7,4.289,2,0.244,8
B5 LM,STUART,2971,92.886,0.628,-0.2,9.4,4.272,2,0.195,6
B5 LM,STUART,2971.5,99.643,0.683,-0.3,7.95,4.395,2,0.171,6
B5 LM,STUART,2972,101.585,0.757,0,6.5,4.51,2,0.146,8
B5 LM,STUART,2972.5,95.775,0.85,1.6,4.9,4.53,2,0.122,3
B5 LM,STUART,2973,87.036,0.951,2.1,3.95,4.456,2,0.098,6
B5 LM,STUART,2973.5,72.331,1.019,2.6,3.6,4.056,2,0.073,6
B5 LM,STUART,2974,58.859,0.991,3.4,3.9,3.712,2,0.049,6
B5 LM,STUART,2974.5,60.932,0.857,1.3,7.35,3.371,2,0.024,2
C SH,STUART,2975,67.655,0.675,-0.8,14.4,3.131,1,1,2
C SH,STUART,2975.5,77.219,0.528,6.8,20.9,3.008,1,0.977,3
C SH,STUART,2976,82.115,0.459,10.6,24.2,2.988,1,0.953,3
C SH,STUART,2976.5,84.865,0.446,9.4,23.7,3.134,1,0.93,3
C SH,STUART,2977,84.384,0.449,13.3,21.45,3.409,1,0.907,3
C SH,STUART,2977.5,81.772,0.443,14.8,20.9,3.483,1,0.884,3
C SH,STUART,2978,78.998,0.444,16.5,20.65,3.438,1,0.837,3
C SH,STUART,2978.5,79.896,0.457,14.9,20.15,3.423,1,0.814,3
C SH,STUART,2979,79.194,0.462,14.8,19.9,3.45,1,0.791,3
C SH,STUART,2979.5,78.99,0.451,13.5,19.65,3.393,1,0.767,3
C SH,STUART,2980,79.21,0.441,15.1,18.95,3.475,1,0.744,3
C SH,STUART,2980.5,78.1,0.451,15.6,17.5,3.478,1,0.721,3
C SH,STUART,2981,78.59,0.489,14.3,16.75,3.505,1,0.698,3
C SH,STUART,2981.5,79.439,0.544,12.7,15.25,3.478,1,0.674,3
C SH,STUART,2982,81.299,0.576,11.5,14.65,3.453,1,0.651,2
C SH,STUART,2982.5,78.933,0.494,11.9,14.85,3.479,1,0.605,3
C SH,STUART,2983,79.471,0.441,13.4,16.3,3.494,1,0.581,3
C SH,STUART,2983.5,81.895,0.431,14.2,16.8,3.441,1,0.558,3
C SH,STUART,2984,82.768,0.468,14.3,16.05,3.493,1,0.535,3
C SH,STUART,2984.5,79.022,0.537,12.9,15.05,3.5,1,0.512,2
C SH,STUART,2985,76.746,0.601,11.4,13.8,3.441,1,0.488,2
C SH,STUART,2985.5,73.066,0.638,11.1,13.25,3.426,1,0.465,2
C SH,STUART,2986,70.356,0.651,11,13.1,3.447,1,0.442,2
C SH,STUART,2986.5,74.608,0.621,10.5,14.85,3.399,1,0.395,2
C SH,STUART,2987,73.008,0.585,11.1,15.15,3.393,1,0.372,2
C SH,STUART,2987.5,70.438,0.546,12.1,15.15,3.439,1,0.349,2
C SH,STUART,2988,68.08,0.5,13.5,14.65,3.478,1,0.326,2
C SH,STUART,2988.5,66.75,0.46,13.6,15.2,3.461,1,0.302,2
C SH,STUART,2989,69.451,0.455,13.4,14.8,3.494,1,0.279,2
C SH,STUART,2989.5,75.946,0.494,14.2,14,3.541,1,0.256,2
C SH,STUART,2990,80.344,0.556,11.8,13.6,3.522,1,0.233,2
C SH,STUART,2990.5,83.772,0.616,10.4,12.9,3.476,1,0.186,3
C SH,STUART,2991,84.767,0.618,10.7,12.55,3.39,1,0.163,2
C SH,STUART,2991.5,84.09,0.616,9.4,13.4,3.289,1,0.14,2
C SH,STUART,2992,86.628,0.601,8.8,14.4,3.19,1,0.116,2
C SH,STUART,2992.5,90.43,0.556,2,21.4,3.045,1,0.093,3
C SH,STUART,2993,87.077,0.498,2,26.4,3.088,1,0.07,3
C SH,STUART,2993.5,76.623,0.479,5.3,28.45,3.224,1,0.047,2
C SH,STUART,2994,62.768,0.546,3.2,26.3,3.334,1,0.023,5
C LM,STUART,2994.5,43.738,0.703,1.8,19.3,3.876,2,1,8
C LM,STUART,2995,27.859,0.855,6.9,11.75,4.508,2,0.993,8
C LM,STUART,2995.5,18.034,0.879,5.3,9.55,4.815,2,0.985,8
C LM,STUART,2996,13.203,0.83,3,9.1,4.863,2,0.978,8
C LM,STUART,2996.5,12.762,0.767,2,8.9,5.024,2,0.97,8
C LM,STUART,2997,14.843,0.702,1.8,9.2,4.616,2,0.963,8
C LM,STUART,2997.5,19.087,0.644,0.4,10.4,4.172,2,0.955,8
C LM,STUART,2998,19.087,0.644,0.4,10.4,4.172,2,0.955,8
C LM,STUART,2998.5,25.207,0.601,-0.2,10.7,3.97,2,0.948,8
C LM,STUART,2999,27.997,0.587,1.1,10.25,3.933,2,0.94,8
C LM,STUART,2999.5,28.822,0.602,2.2,10,3.875,2,0.933,8
C LM,STUART,3000,28.618,0.622,1.9,10.35,3.969,2,0.925,8
C LM,STUART,3000.5,24.815,0.612,0.7,11.15,4.118,2,0.918,8
C LM,STUART,3001,23.371,0.575,0.2,11.8,4.243,2,0.91,8
C LM,STUART,3001.5,23.052,0.542,0.1,12.35,4.196,2,0.903,8
C LM,STUART,3002,23.109,0.522,-0.1,12.15,4.192,2,0.896,8
C LM,STUART,3002.5,24.138,0.511,-0.3,12.05,3.978,2,0.888,8
C LM,STUART,3003,24.448,0.511,-0.1,11.75,3.975,2,0.881,8
C LM,STUART,3003.5,25.419,0.523,0,11.6,3.962,2,0.873,8
C LM,STUART,3004,26.724,0.56,-0.7,11.35,3.99,2,0.866,8
C LM,STUART,3004.5,29.213,0.623,-0.8,10.7,3.885,2,0.858,8
C LM,STUART,3005,34.036,0.686,0.4,9.4,3.816,2,0.851,8
C LM,STUART,3005.5,38.157,0.716,1.7,7.75,3.66,2,0.843,5
C LM,STUART,3006,40.45,0.701,1.8,6.8,3.544,2,0.836,5
C LM,STUART,3006.5,41.576,0.662,3.5,6.45,3.392,2,0.828,5
C LM,STUART,3007,40.123,0.633,3.7,7.35,3.24,2,0.821,5
C LM,STUART,3007.5,36.663,0.632,3.4,8.1,3.212,2,0.813,7
C LM,STUART,3008,32.706,0.65,3.8,8.3,3.253,2,0.806,7
C LM,STUART,3008.5,30.323,0.672,3.4,8.7,3.289,2,0.799,5
C LM,STUART,3009,28.601,0.694,3,9.4,3.314,2,0.791,5
C LM,STUART,3009.5,28.169,0.721,2.4,9.7,3.262,2,0.784,5
C LM,STUART,3010,29.442,0.756,1.4,9.8,3.31,2,0.776,5
C LM,STUART,3010.5,30.878,0.795,0.7,9.55,3.359,2,0.769,5
C LM,STUART,3011,32.151,0.832,0.1,9.35,3.409,2,0.761,5
C LM,STUART,3011.5,33.677,0.856,0.4,9.1,3.417,2,0.754,5
C LM,STUART,3012,33.701,0.872,1.1,8.95,3.444,2,0.746,5
C LM,STUART,3012.5,35.105,0.889,1.5,8.75,3.466,2,0.739,5
C LM,STUART,3013,37.104,0.914,1.6,8.6,3.49,2,0.731,5
C LM,STUART,3013.5,37.349,0.939,2.1,7.95,3.418,2,0.724,6
C LM,STUART,3014,37.936,0.952,2.4,7.7,3.504,2,0.716,6
C LM,STUART,3014.5,39.087,0.953,2.1,7.75,3.511,2,0.709,5
C LM,STUART,3015,38.059,0.951,1.7,7.55,3.55,2,0.701,5
C LM,STUART,3015.5,37.202,0.952,2.2,7.3,3.603,2,0.694,6
C LM,STUART,3016,37.218,0.951,1.8,7.5,3.675,2,0.687,5
C LM,STUART,3016.5,37.781,0.949,1.4,7.6,3.741,2,0.679,5
C LM,STUART,3017,40.164,0.948,1.5,7.35,3.735,2,0.672,5
C LM,STUART,3017.5,40.956,0.95,1.6,7.3,3.747,2,0.664,5
C LM,STUART,3018,41.013,0.952,1.5,7.25,3.64,2,0.657,5
C LM,STUART,3018.5,42.547,0.95,1.9,7.15,3.683,2,0.649,5
C LM,STUART,3019,41.192,0.945,2,7,3.644,2,0.642,5
C LM,STUART,3019.5,42.726,0.941,2.3,7.15,3.704,2,0.634,5
C LM,STUART,3020,44.407,0.942,3.4,7,3.695,2,0.627,5
C LM,STUART,3020.5,45.387,0.946,3.8,6.8,3.788,2,0.619,6
C LM,STUART,3021,45.052,0.945,2.6,7.5,3.917,2,0.612,5
C LM,STUART,3021.5,46.129,0.935,2.4,7.4,3.948,2,0.604,5
C LM,STUART,3022,47.826,0.925,2.5,7.05,4.016,2,0.597,5
C LM,STUART,3022.5,50.054,0.925,2.3,6.75,3.935,2,0.59,5
C LM,STUART,3023,55.562,0.933,1.8,6.9,3.974,2,0.582,4
C LM,STUART,3023.5,63.029,0.947,2,6.8,3.859,2,0.575,4
C LM,STUART,3024,75.399,0.966,1.9,6.45,3.681,2,0.567,4
C LM,STUART,3024.5,102.116,0.987,0.2,6.9,3.561,2,0.56,8
C LM,STUART,3025,140.778,0.993,-0.4,7,3.513,2,0.552,8
C LM,STUART,3025.5,183.358,0.981,-0.3,7.35,3.437,2,0.545,3
C LM,STUART,3026,213.999,0.977,0.2,7.8,3.412,2,0.537,4
C LM,STUART,3026.5,220.413,1.004,0,8,3.528,2,0.53,4
C LM,STUART,3027,200.306,1.027,0,8,3.671,2,0.522,4
C LM,STUART,3027.5,162.149,0.999,-0.2,8.5,3.746,2,0.515,6
C LM,STUART,3028,121.202,0.95,0.2,9.2,3.892,2,0.507,8
C LM,STUART,3028.5,92.805,0.916,1.3,9.95,3.924,2,0.5,8
C LM,STUART,3029,77.758,0.894,1.9,10.65,3.953,2,0.493,4
C LM,STUART,3029.5,67.623,0.879,2.9,10.85,3.889,2,0.485,4
C LM,STUART,3030,62.376,0.873,2.5,11.45,3.799,2,0.478,4
C LM,STUART,3030.5,59.463,0.873,2.1,11.25,3.773,2,0.47,4
C LM,STUART,3031,55.211,0.872,2.7,10.45,3.784,2,0.463,4
C LM,STUART,3031.5,51.727,0.866,2.3,10.35,3.787,2,0.455,4
C LM,STUART,3032,52.38,0.858,2.1,10.75,3.776,2,0.448,4
C LM,STUART,3032.5,53.122,0.851,2.5,11.05,3.724,2,0.44,4
C LM,STUART,3033,51.245,0.844,2.7,11.25,3.697,2,0.433,6
C LM,STUART,3033.5,52.208,0.836,1.5,11.75,3.653,2,0.425,4
C LM,STUART,3034,54.95,0.826,1.3,12.05,3.647,2,0.418,4
C LM,STUART,3034.5,54.436,0.817,2,12,3.65,2,0.41,4
C LM,STUART,3035,54.811,0.81,1.8,12.1,3.678,2,0.403,4
C LM,STUART,3035.5,55.603,0.801,1.6,12.2,3.644,2,0.396,4
C LM,STUART,3036,54.289,0.785,1.3,12.75,3.656,2,0.388,4
C LM,STUART,3036.5,52.38,0.768,2,13,3.598,2,0.381,4
C LM,STUART,3037,53.645,0.758,2,13.7,3.582,2,0.373,4
C LM,STUART,3037.5,53.93,0.757,2.1,13.75,3.581,2,0.366,4
C LM,STUART,3038,56.072,0.755,2.9,13.75,3.645,2,0.358,4
C LM,STUART,3038.5,59.017,0.75,4,13.7,3.694,2,0.351,4
C LM,STUART,3039,62.144,0.742,4.4,14.1,3.65,2,0.343,4
C LM,STUART,3039.5,64.814,0.73,4.8,14.2,3.66,2,0.336,4
C LM,STUART,3040,66.705,0.714,5.6,14.6,3.689,2,0.328,4
C LM,STUART,3040.5,67.568,0.695,6.5,15.45,3.674,2,0.321,4
C LM,STUART,3041,67.683,0.676,6.7,15.65,3.603,2,0.313,4
C LM,STUART,3041.5,67.683,0.662,6,15.4,3.562,2,0.306,4
C LM,STUART,3042,67.683,0.666,5.7,15.25,3.57,2,0.299,4
C LM,STUART,3042.5,67.683,0.701,6,15.2,3.603,2,0.291,4
C LM,STUART,3043,67.683,0.778,5.1,15.65,3.537,2,0.284,4
C LM,STUART,3043.5,67.683,0.882,4.9,15.75,3.547,2,0.276,4
C LM,STUART,3044,67.683,0.973,4.4,15.8,3.533,2,0.269,5
C LM,STUART,3044.5,67.683,1.017,3.5,16.25,3.495,2,0.261,8
